_id,A1.12 Postal Code,A1.3 Ontario Library Service (OLS) Region (English),A1.4 Type of Library Service (English),Soma de B2.4.1a  Total Project Grants,Soma de B2.4.1.99  Other Project Grant,Soma de B2.9  Total Operating Revenues,Soma de B3.3  Local,Soma de B3.5  Total Capital Revenues,Soma de B5.0  Total Operating Expenditures,Soma de C0.1.E  English Print Titles Held,Soma de C0.1.F  French Print Titles Held,Soma de C0.1.O  Other Print Titles Held,Soma de C0.1.T  Total Print Titles Held,Soma de C0.2.E  English Print Volumes Held,Soma de C0.2.F  French Print Volumes Held,Soma de C0.2.O  Other Print Volumes Held,Soma de C0.2.T  Total Print Volumes Held,Soma de C0.3.1.E  English CD and DVD Titles,Soma de C0.3.1.F  French CD and DVD Titles,Soma de C0.3.1.O  Other CD and DVD Titles,Soma de C0.3.1.T  Total CD and DVD Titles,Soma de C0.3.2.E  English CD and DVD Copies,Soma de C0.3.2.F  French CD and DVD Copies,Soma de C0.3.2.O  Other CD and DVD Copies,Soma de C0.3.2.T  Total CD and DVD Copies,C0.3.5.E  English E-Book Titles,C0.3.5.F  French E-Book Titles,C0.3.5.O  Other E-Book Titles,C0.3.5.T  Total E-Book Titles,C0.3.6.E  English E-Book Copies,C0.3.6.F  French E-Book Copies,C0.3.6.O  Other E-Book Copies,C0.3.6.T  Total E-Book Copies,C0.3.7.O  Other E-Audio Book Titles,C0.3.7.E  English E-Audio Book Titles,C0.3.7.T  Total E-Audio Book Titles,C0.3.8.E  English E-Audio Book Copies,C0.3.8.O  Other E-Audio Book Copies,C0.3.8.T  Total E-Audio Book Copies,Soma de C0.4.E  English Special Collections - Original Format,Soma de C0.4.T  Total Special Collections - Original Format,Soma de C0.5.E  English Special Collections - Digital Format,Soma de C0.5.T  Total Special Collections - Digital Format,Soma de C3.1.E  English Print Periodical Titles Held,Soma de C3.1.T  Total Print Periodical Titles Held,Soma de C3.2.0.E  English Databases and Database Subscriptions,Soma de C3.2.0.F  French Databases and Database Subscriptions,Soma de C3.2.0.O  Other Databases and Database Subscriptions,Soma de C3.2.0.T  Total Databases and Database Subscriptions,"Soma de C4.2  If yes, how many",Soma de C4.3.90  Other,"C5.1  If you provide e-learning services (e.g. Gale Courses, Learning express), please state how many:",Soma de C5.1.1.90  Other,Soma de D1.0.H  How many hours per week in your library constitute a full time position (must be at least 32.5 hours)?,Soma de D1.1.1.C  Librarians,Soma de D1.1.2.C  Library Technicians,Soma de D1.1.3.1.C  Other Specialized Professional Staff,Soma de D1.1.4.C  Other Staff,Soma de D1.2.1.C  Librarians,Soma de D1.2.1.H  Librarians,Soma de D1.2.2.C  Library Technicians,Soma de D1.2.3.1.C  Other Specialized Professional Staff,Soma de D1.2.3.1.H  Other Specialized Professional Staff,Soma de D1.2.3.C  EXCEL Graduates,Soma de D1.2.3.H  EXCEL Graduates,Soma de D1.2.4.C  Other Staff,Soma de E1.1  Total No. of Public Access Workstations available in your library,Soma de E1.1.1  Provide Internet access,Soma de E2.1.T  Does your library have an automated catalogue system?,Soma de E2.3.T  Does your library provide wireless Internet connection?,Soma de E2.5  If yes state how many:,Soma de E3.2.SPC  Branches open 12 hours per week or more,Soma de E3.3.SPC  Branches open less than 12 hours per week,Soma de E3.3.SPH  Branches open less than 12 hours per week,Soma de E3.4.SPC  Bookmobile stop locations,Soma de E3.4.SPH  Bookmobile stop locations,Soma de E3.6.SPC  No. of Bookmobiles owned by your library board,Soma de F2.307.Programs  Newcomer focus,"Soma de F2.308.Programs  Careers, job help / skills ",Soma de F2.319.Programs  Book Clubs,Soma de H1.3.1.T  Yes,Soma de H1.3.2.13  Facebook,Library Full Name,Library Number,Survey Year From,A1.14  No. of Active Library Cardholders,B2.1.4  Total Provincial Operating Funding,B2.2  Local Operating Funding (e.g. Municipality or Band local operating funding),"B2.6  Self Generated Revenue (e.g. fines, fees, sales/fundraising, room rentals, cafe revenue, etc.)"
,K0A1A0,Southern Ontario Library Service,Public or Union Library,10083,0,689746,0,0,689746,36156,1437,0,37593,36349,1437,0,37786,8105,3,0,8108,8131,3,0,8134,80364,890,202,81456,106704,912,138,107754,12,19900,20040,30557,12,30723,578,578,49,49,60,60,1,0,0,1,2,0,0,0,35,1,0,0,0,0,0,1,0,0,0,0,13,12,12,1,1,1,1,0,0,0,0,0,0,0,20,1,1,Mississippi Mills,L0210,2022,4172,31848,618965,16394
,K0A1M0,Southern Ontario Library Service,Public or Union Library,0,0,17804,0,0,150250,0,0,21551,21551,0,0,21999,21999,95,91,1,187,298,296,3,597,72312,558,5,72875,105879,444,36,106359,26,19539,19639,10904,26,31716,160,465,160,464,7,20,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,2,19,0,0,2,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,Casselman,L0107,2022,1118,3835,8000,1595
,K0B1J0,Southern Ontario Library Service,Public or Union Library,0,0,253765,0,0,335854,11296,34104,0,45400,12958,46095,0,59053,2009,1592,0,3601,2102,1618,0,3720,70755,10378,138,81271,94886,12609,202,107697,12,19030,19999,29603,12,30682,0,0,0,0,0,30,0,0,0,0,1,0,0,0,35,0,1,0,0,0,0,0,5,54,1,27,0,11,11,1,1,0,0,5,81,0,0,0,0,0,5,1,1,Alfred & Plantagenet Twp,L0004,2022,1755,15665,201159,5293
,K0B1P0,Southern Ontario Library Service,Contracting Municipality,0,0,17977,0,0,17977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Hawkesbury Twp,L0028,2022,0,6017,11960,0
,K0B1R0,Southern Ontario Library Service,Public or Union Library,500,500,250730,0,0,253517,10374,4890,0,15264,10374,4890,0,15264,1609,26,2,1637,1609,26,2,1637,70827,10378,202,81407,94886,12609,138,107633,12,19030,19999,29603,12,30682,89,97,0,0,242,299,1,0,0,1,2,0,0,0,35,0,0,0,0,0,0,0,0,0,1,26,4,4,4,1,1,0,0,0,0,0,0,0,0,0,25,1,1,Champlain Twp,L0108,2022,2099,15263,221407,2815
,K0C2B0,Southern Ontario Library Service,Public or Union Library,0,0,440612,0,0,430477,27352,38522,0,65874,32352,42070,0,74422,895,1813,0,2708,978,2279,0,3257,70755,10378,138,81271,94886,12609,202,107697,12,19030,19999,29603,12,30682,0,0,0,0,8,18,2,1,0,3,2,0,0,0,35,0,1,0,1,0,0,1,0,0,0,0,9,7,7,1,1,3,2,0,0,0,0,0,0,0,0,1,1,La Nation,L0091,2022,2968,16331,406422,1177
,K0E1A0,Southern Ontario Library Service,Public or Union Library,0,0,119574,0,0,122483,2789,140,0,2929,2796,140,0,2936,0,0,0,0,0,0,0,0,70755,890,138,71783,94886,912,202,96000,12,19030,19170,29603,12,29769,0,0,0,0,1,1,1,0,0,1,0,0,0,0,32.5,0,0,0,0,0,0,0,0,0,3,46,0,5,5,1,1,0,0,2,20,0,0,0,0,0,0,1,1,Elizabethtown - Kitley,L0469,2022,1311,19452,95200,0
,K0E1B0,Southern Ontario Library Service,Public or Union Library,1800,1800,53394,0,0,59810,7847,95,0,7942,7887,95,0,7982,479,0,0,479,482,0,0,482,70755,890,202,71847,94886,912,138,95936,12,19030,19170,29603,12,29769,0,0,0,0,16,16,5,0,0,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,30,0,3,2,1,1,0,0,0,0,0,0,0,0,0,9,1,1,Athens Twp,L0018,2022,375,6830,19701,8055
,K0E1L0,Southern Ontario Library Service,Public or Union Library,0,0,451374,0,0,461979,15975,95,0,16070,16530,95,0,16625,1944,0,0,1944,2245,0,0,2245,70755,890,138,71783,94886,912,202,96000,12,19030,19170,29603,12,29769,40,40,0,0,33,33,3,0,0,3,2,0,1,1,35,1,0,0,1,0,0,1,0,0,0,0,5,9,9,1,1,0,2,0,0,0,0,0,0,0,17,1,1,Leeds and the Thousand Islands Twp,L0477,2022,1537,28493,411198,5879
,K0E1R0,Southern Ontario Library Service,Public or Union Library,1136,1136,75270,0,0,73676,10225,156,0,10381,10359,156,0,10515,968,0,0,968,984,0,0,984,70755,890,138,71783,94886,912,202,96000,12,19030,19170,29603,12,29769,0,0,0,0,21,21,3,0,0,3,1,0,0,0,32.5,0,0,0,0,0,0,0,0,0,1,15,3,2,2,1,1,0,0,0,0,0,0,0,0,0,13,1,1,Front of Yonge Twp,L0448,2022,323,4831,66995,535
